Party,Political orientation,1994,1998,2002,2003,2006,2010,2012,2017,2021,2023.exitpoll1,2023.exitpoll2,2023.ochtendprognose,2023,2025.exitpoll1,2025.exitpoll2,2025.ochtendprognose
PVV,radical right,0,0,0,0,9,24,15,20,17,35,35,37,37,25,25,26
GL/PVDA,left,42,56,33,50,40,40,42,23,17,26,25,25,25,20,20,20
VVD,traditional right,31,38,24,28,22,31,41,33,34,23,24,24,24,23,23,22
NSC,centre,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0
D66,progressive centre,24,14,7,6,3,10,12,19,24,10,10,9,9,27,27,26
BBB,radical right,0,0,0,0,0,0,0,0,1,7,7,7,7,4,4,4
CDA,centre,34,29,43,44,41,21,13,19,15,5,5,5,5,19,19,18
SP,left,2,5,9,9,25,15,15,14,9,5,5,5,5,3,3,3
PvdD,left,0,0,0,0,2,2,2,5,6,4,3,3,3,3,3,3
FvD,radical right,0,0,0,0,0,0,0,2,8,3,3,3,3,6,6,7
CU,centre,0,0,4,3,6,5,5,5,5,3,3,3,3,2,2,3
SGP,traditional right,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Volt,progressive centre,0,0,0,0,0,0,0,0,3,2,2,2,2,1,1,1
DENK,left,0,0,0,0,0,0,0,3,3,2,3,3,3,3,3,3
JA21,radical right,0,0,0,0,0,0,0,0,3,1,1,1,1,9,9,9
50PLUS,centre,0,0,0,0,0,0,2,4,1,1,1,0,0,2,2,2
BIJ1,left,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fortuyn,radical right,0,0,26,8,0,0,0,0,0,0,0,0,0,0,0,0
RPF,traditional right,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPV,traditional right,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,radical right,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOV,centre,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U55,centre,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leefbaar,radical right,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
